HDFS,база данных,роль,группа,Вид учетной записи,учетная запись,YARN
/data/custom/rb/eks/stg,custom_rb_eks_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/eps/pa,custom_rb_eps,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/eps/pa,custom_rb_eps,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/eps/pa,custom_rb_eps,r_dc_custom_rb_eps_ro,g_dc_d_custom_rb_eps_ro,Пользователь,,
/data/custom/rb/eps/stg,custom_rb_eps_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/eps/stg,custom_rb_eps_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/ermb/pa,custom_rb_ermb,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/ermb/pa,custom_rb_ermb,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/ermb/pa,custom_rb_ermb,r_dc_custom_rb_ermb_ro,g_dc_d_custom_rb_ermb_ro,Пользователь,,
/data/custom/rb/ermb/stg,custom_rb_ermb_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/ermb/stg,custom_rb_ermb_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/exchange_rates/pa,custom_rb_exchange_rates,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/exchange_rates/pa,custom_rb_exchange_rates,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/exchange_rates/pa,custom_rb_exchange_rates,r_dc_custom_rb_exchange_rates_ro,g_dc_d_custom_rb_exchange_rates_ro,Пользователь,,
/data/custom/rb/exchange_rates/stg,custom_rb_exchange_rates_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/exchange_rates/stg,custom_rb_exchange_rates_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
